episode,step,cart_position,pole_angle,cart_velocity,pole_angular_velocity,action_idx,action_value,q_estimated,max_q_estimated,reward,mc_return,taken_bias,maxq_bias
0,0,0.024707257747650146,-0.033055126667022705,0.1365971863269806,-0.05191256105899811,0,-1.0,2.4370428252004337,2.4370428252004337,0.9972355365753174,27.217876765819184,-24.780833940618752,-24.780833940618752
0,1,0.02557455189526081,-0.034381091594696045,0.04954139143228531,-0.19122391939163208,0,-1.0,2.4370428252004337,2.4370428252004337,0.99658203125,26.48549619115542,-24.048453365954988,-24.048453365954988
0,2,0.02560795098543167,-0.037045203149318695,-0.031051326543092728,-0.3207923471927643,1,-0.5,9.366865569748617,9.366865569748617,0.9956226348876953,25.746377939298405,-16.379512369549786,-16.379512369549786
0,3,0.025082310661673546,-0.04062727093696594,-0.06820516288280487,-0.3837830126285553,1,-0.5,9.366865569748617,9.366865569748617,0.9946299195289612,25.00076293374819,-15.633897363999575,-15.633897363999575
0,4,0.024199623614549637,-0.044820964336395264,-0.10275040566921234,-0.4432995319366455,1,-0.5,9.366865569748617,9.366865569748617,0.9935867786407471,24.24861920628205,-14.881753636533434,-14.881753636533434
0,5,0.022984646260738373,-0.04959427937865257,-0.1349114179611206,-0.4997786283493042,1,-0.5,9.366865569748617,9.366865569748617,0.9924746751785278,23.489931745092225,-14.123066175343608,-14.123066175343608
0,6,0.021460000425577164,-0.05491938441991806,-0.16489361226558685,-0.5536227822303772,0,-1.0,8.998497125403198,8.998497125403198,0.9905725717544556,22.724704111023936,-13.726206985620738,-13.726206985620738
0,7,0.019433090463280678,-0.061100903898477554,-0.23036938905715942,-0.6629679203033447,0,-1.0,8.998497125403198,8.998497125403198,0.9885305166244507,21.953668221484325,-12.955171096081127,-12.955171096081127
0,8,0.016777269542217255,-0.06834293901920319,-0.2912052273750305,-0.7660875916481018,0,-1.0,8.998497125403198,8.998497125403198,0.9863011240959167,21.17690677258573,-12.178409647182534,-12.178409647182534
0,9,0.013536648824810982,-0.07658793032169342,-0.3477880358695984,-0.8637312650680542,0,-1.0,8.998497125403198,8.998497125403198,0.9838342070579529,20.39455116009072,-11.396054034687523,-11.396054034687523
0,10,0.009751682169735432,-0.08578541874885559,-0.40047046542167664,-0.9565866589546204,0,-1.0,8.998497125403198,8.998497125403198,0.981076717376709,19.6067848010432,-10.608287675640003,-10.608287675640003
0,11,0.0054594785906374454,-0.09589146822690964,-0.4495735764503479,-1.0452851057052612,0,-1.0,8.998497125403198,8.998497125403198,0.9779731631278992,18.81384654915807,-9.815349423754874,-9.815349423754874
0,12,0.0006941154133528471,-0.10686812549829483,-0.49538958072662354,-1.1304064989089966,3,0.5,7.299179086576746,7.299179086576746,0.9766751527786255,18.0160337232628,-10.716854636686055,-10.716854636686055
0,13,-0.003876485163345933,-0.11770614981651306,-0.4262959659099579,-1.040824294090271,0,-1.0,13.29149181768277,13.29149181768277,0.9730120301246643,17.21147330351937,-3.9199814858365993,-3.9199814858365993
0,14,-0.008426154963672161,-0.1286880224943161,-0.47475913166999817,-1.1331158876419067,0,-1.0,13.29149181768277,13.29149181768277,0.9688920974731445,16.402486134742126,-3.1109943170593564,-3.1109943170593564
0,15,-0.013442770577967167,-0.14057759940624237,-0.5199704766273499,-1.2219983339309692,0,-1.0,13.29149181768277,13.29149181768277,0.9642524123191833,15.589488926534326,-2.297997108851556,-2.297997108851556
0,16,-0.018895311281085014,-0.1533440202474594,-0.5621876120567322,-1.3079954385757446,1,-0.5,0.0,0.0,0.959788978099823,14.772966175974892,-14.772966175974892,-14.772966175974892
0,17,-0.024544425308704376,-0.16664005815982819,-0.5646042227745056,-1.3351190090179443,4,1.0,3.8935730106353184,3.8935730106353184,0.9571426510810852,13.952704240277848,-10.05913122964253,-10.05913122964253
0,18,-0.029589930549263954,-0.17926694452762604,-0.4565088152885437,-1.196109414100647,3,0.5,8.767859484398054,8.767859484398054,0.953734815120697,13.126829888077538,-4.358970403679484,-4.358970403679484
