episode,step,cart_position,pole_angle,cart_velocity,pole_angular_velocity,action_idx,action_value,q_estimated,reward,mc_return,bias
0,0,-0.12111907452344894,0.06292906403541565,-0.09296093881130219,-0.02972365915775299,2,0.0,5.319230580503998,0.9922307729721069,33.396559711641814,-28.077329131137816
0,1,-0.12198378890752792,0.06280319392681122,-0.08269762247800827,-0.004397755488753319,2,0.0,5.319230580503998,0.9921963214874268,32.73164539259567,-27.41241481209167
0,2,-0.12275028973817825,0.06292364001274109,-0.07320773601531982,0.019723886623978615,4,1.0,11.026510241407392,0.9919900894165039,32.060049566776,-21.033539325368608
0,3,-0.12299953401088715,0.06393603980541229,0.01052168756723404,0.15822835266590118,1,-0.5,10.946126842489704,0.9918917417526245,31.381878259959084,-20.43575141746938
0,4,-0.12308628112077713,0.06529533118009567,-0.02437547966837883,0.11419004201889038,4,1.0,11.026510241407392,0.99066561460495,30.696956078996426,-19.670445837589035
0,5,-0.1228671744465828,0.06722432374954224,0.055807024240493774,0.24759121239185333,1,-0.5,10.946126842489704,0.9910013675689697,30.006354004435835,-19.06022716194613
0,6,-0.12251903861761093,0.06945342570543289,0.017696641385555267,0.19913555681705475,1,-0.5,10.946126842489704,0.9909714460372925,29.308437006936227,-18.362310164446523
0,7,-0.12253483384847641,0.07122696936130524,-0.017436714842915535,0.1555972844362259,4,1.0,11.026510241407392,0.9895254969596863,28.60350056656458,-17.57699032515719
0,8,-0.1222471371293068,0.07357523590326309,0.062498293817043304,0.28947222232818604,1,-0.5,10.946126842489704,0.9897691607475281,27.892904110712013,-16.94677726822231
0,9,-0.12183234095573425,0.07623013108968735,0.024232767522335052,0.2417740821838379,1,-0.5,10.946126842489704,0.9897754788398743,27.174883787842916,-16.22875694535321
0,10,-0.12178278714418411,0.07843790203332901,-0.01102067343890667,0.19911207258701324,4,1.0,11.026510241407392,0.9880962371826172,26.449604352528326,-15.423094111120934
0,11,-0.12143110483884811,0.08122887462377548,0.06875833868980408,0.3337783217430115,1,-0.5,10.946126842489704,0.9882210493087769,25.718695066005765,-14.77256822351606
0,12,-0.120953269302845,0.08433643728494644,0.0304404329508543,0.2872014343738556,1,-0.5,10.946126842489704,0.9882317185401917,24.98027678454241,-14.034149942052707
0,13,-0.12084096670150757,0.08700890839099884,-0.00483672646805644,0.245773583650589,4,1.0,11.026510241407392,0.9862934947013855,24.234388955557797,-13.207878714150405
0,14,-0.12042709439992905,0.09027626365423203,0.07485567778348923,0.3815220594406128,1,-0.5,10.946126842489704,0.9862653017044067,23.48292470793577,-12.536797865446065
0,15,-0.11988721042871475,0.09387344121932983,0.03657238185405731,0.3364216089248657,1,-0.5,10.946126842489704,0.9862184524536133,22.72389839013269,-11.777771547642985
0,16,-0.11971233785152435,0.09705114364624023,0.0013537164777517319,0.2965809106826782,1,-0.5,10.946126842489704,0.9855359792709351,21.957252462302097,-11.011125619812393
0,17,-0.11987332254648209,0.09985916316509247,-0.031055212020874023,0.26154181361198425,4,1.0,11.026510241407392,0.9839325547218323,21.18355200306178,-10.157041761654389
0,18,-0.11970607936382294,0.10332176834344864,0.05114703252911568,0.40293654799461365,1,-0.5,10.946126842489704,0.9836915135383606,20.40365600842419,-9.457529165934485
0,19,-0.11938787251710892,0.1071719080209732,0.015346325933933258,0.36369389295578003,4,1.0,9.61978566348326,0.9812657833099365,19.61612575240993,-9.996340088926669
0,20,-0.11877402663230896,0.11163707077503204,0.09437011182308197,0.501237154006958,4,1.0,9.61978566348326,0.9786234498023987,18.82309087787878,-9.20330521439552
0,21,-0.1174023300409317,0.11743279546499252,0.16764193773269653,0.6305992007255554,4,1.0,9.61978566348326,0.9757241606712341,18.024714573814528,-8.404928910331268
0,22,-0.11532753705978394,0.12448295950889587,0.23563386499881744,0.7526921629905701,4,1.0,9.61978566348326,0.9725199937820435,17.22120243751848,-7.6014167740352185
0,23,-0.11259987950325012,0.13272012770175934,0.2987779676914215,0.8683565258979797,4,1.0,9.61978566348326,0.9689576029777527,16.412810549228723,-6.793024885745464
0,24,-0.10926553606987,0.14208483695983887,0.35746869444847107,0.9783656597137451,4,1.0,9.61978566348326,0.9649778604507446,15.599851460859565,-5.980065797376305
0,25,-0.10536691546440125,0.15252496302127838,0.4120655059814453,1.0834306478500366,4,1.0,9.61978566348326,0.9605177640914917,14.782700606473556,-5.162914942990296
0,26,-0.10094305127859116,0.1639951467514038,0.4628954529762268,1.1842046976089478,4,1.0,6.559728781555979,0.9555098414421082,13.961800850890974,-7.402072069334995
0,27,-0.09602989256381989,0.17645622789859772,0.5102552175521851,1.2812879085540771,2,0.0,3.058658272646749,0.9514077305793762,13.137667686311985,-10.079009413665236
0,28,-0.09108036756515503,0.1892370730638504,0.4806404411792755,1.2631969451904297,2,0.0,3.058658272646749,0.9469565153121948,12.309353490639,-9.25069521799225
0,29,-0.0864097997546196,0.20187783241271973,0.4538514018058777,1.2513923645019531,2,0.0,3.058658272646749,0.9421476125717163,11.477168661946267,-8.418510389299518
0,30,-0.08199133723974228,0.21443897485733032,0.42965078353881836,1.2454761266708374,0,-1.0,4.904584371980449,0.9385222792625427,10.641435403408638,-5.736851031428189
0,31,-0.07821685075759888,0.22634945809841156,0.33462464809417725,1.1347728967666626,0,-1.0,4.904584371980449,0.9349181652069092,9.800922347622318,-4.8963379756418695
0,32,-0.07534646987915039,0.23723745346069336,0.2474711835384369,1.0380146503448486,0,-1.0,4.904584371980449,0.9313555955886841,8.955559780217586,-4.050975408237137
0,33,-0.07330559194087982,0.24723471701145172,0.167496457695961,0.9539342522621155,0,-1.0,4.904584371980449,0.9278424382209778,8.105256752150405,-3.200672380169956
0,34,-0.07202611863613129,0.25646108388900757,0.09407243877649307,0.8813940286636353,0,-1.0,4.904584371980449,0.9243773221969604,7.2499134484135626,-2.3453290764331136
0,35,-0.07144590467214584,0.26502570509910583,0.026631290093064308,0.8193747997283936,4,1.0,3.2482569825894894,0.9177814722061157,6.389430430521821,-3.1411734479323314
0,36,-0.07068539410829544,0.2742534577846527,0.10929276049137115,0.9822841286659241,4,1.0,3.2482569825894894,0.910235583782196,5.5269181397128335,-2.278661157123344
0,37,-0.06913264840841293,0.28506752848625183,0.18588405847549438,1.137233853340149,4,1.0,3.2482569825894894,0.9016695618629456,4.66331571306125,-1.4150587304717606
